day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;AMETHYSTS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-2;0;STARFRUIT;5002;1;4997;31;;;5003;31;;;;;5002.5;0.0
-2;100;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;0.0
-2;100;STARFRUIT;4997;24;;;;;5003;2;5004;22;;;5000.0;0.0
-2;200;STARFRUIT;4997;2;4996;20;;;5003;20;;;;;5000.0;0.0
-2;200;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;0.0
-2;300;AMETHYSTS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;0.0
-2;300;STARFRUIT;4996;31;;;;;5003;31;;;;;4999.5;0.0
-2;400;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
-2;400;STARFRUIT;4995;27;;;;;5002;27;;;;;4998.5;-45.46875
-2;500;AMETHYSTS;9995;30;;;;;10002;4;10005;30;;;9998.5;0.0
-2;500;STARFRUIT;4996;30;;;;;5003;30;;;;;4999.5;-31.140625
-2;600;STARFRUIT;4999;5;4997;6;4996;25;5003;25;;;;;5001.0;-22.0390625
-2;600;AMETHYSTS;10000;5;9995;25;;;10005;25;;;;;10002.5;0.0
-2;700;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-2;700;STARFRUIT;4997;2;4996;23;;;5003;23;;;;;5000.0;-24.6484375
-2;800;AMETHYSTS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;0.0
-2;800;STARFRUIT;4997;30;;;;;5003;1;5004;29;;;5000.0;-18.5078125
-2;900;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-2;900;STARFRUIT;4997;23;;;;;5003;1;5004;22;;;5000.0;-16.28125
-2;1000;STARFRUIT;4996;26;;;;;5001;6;5003;26;;;4998.5;-20.703125
-2;1000;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-2;1100;STARFRUIT;4998;6;4997;26;;;5004;26;;;;;5001.0;-12.9296875
-2;1100;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-2;1200;AMETHYSTS;9995;21;;;;;9998;1;10005;21;;;9996.5;20.0
-2;1200;STARFRUIT;4997;21;;;;;5002;8;5004;21;;;4999.5;-15.421875
-2;1300;STARFRUIT;4997;31;;;;;5003;1;5004;30;;;5000.0;-18.0546875
-2;1300;AMETHYSTS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;22.0
-2;1400;STARFRUIT;4997;3;4996;25;;;5003;26;;;;;5000.0;-24.3828125
-2;1400;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;24.0
-2;1500;STARFRUIT;4996;27;;;;;5003;27;;;;;4999.5;-20.78125
-2;1500;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;24.0
-2;1600;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;24.0
-2;1600;STARFRUIT;4996;29;;;;;5001;4;5003;29;;;4998.5;-21.578125
-2;1700;STARFRUIT;4997;22;;;;;5002;8;5003;2;5004;20;4999.5;-17.2578125
-2;1700;AMETHYSTS;9996;2;9995;20;;;10002;1;10004;2;10005;20;9999.0;24.0
-2;1800;STARFRUIT;4997;1;4996;22;;;5003;23;;;;;5000.0;-22.109375
-2;1800;AMETHYSTS;10002;1;9996;1;9995;22;10004;1;10005;22;;;10003.0;24.0
-2;1900;STARFRUIT;4997;1;4996;28;;;5001;5;5003;29;;;4999.0;-21.109375
-2;1900;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;26.0
-2;2000;AMETHYSTS;9996;2;9995;24;;;9998;1;10004;2;10005;24;9997.0;26.0
-2;2000;STARFRUIT;4996;26;;;;;5003;26;;;;;4999.5;-28.2421875
-2;2100;STARFRUIT;4997;2;4996;25;;;5003;27;;;;;5000.0;-21.5546875
-2;2100;AMETHYSTS;9996;2;9995;25;;;10002;3;10004;2;10005;25;9999.0;28.0
-2;2200;STARFRUIT;4997;1;4996;24;;;5001;7;5003;25;;;4999.0;-20.0703125
-2;2200;AMETHYSTS;9998;8;9996;1;9995;24;10004;1;10005;24;;;10001.0;28.0
-2;2300;STARFRUIT;4997;32;;;;;5003;2;5004;30;;;5000.0;-17.453125
-2;2300;AMETHYSTS;9998;7;9996;2;9995;30;10004;2;10005;30;;;10001.0;28.0
-2;2400;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;28.0
-2;2400;STARFRUIT;4997;28;;;;;5004;29;;;;;5000.5;-14.203125
-2;2500;STARFRUIT;4997;3;4996;22;;;5003;23;;;;;5000.0;-22.265625
-2;2500;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;28.0
-2;2600;STARFRUIT;4998;3;4997;23;;;5004;23;;;;;5001.0;-16.046875
-2;2600;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;28.0
-2;2700;STARFRUIT;4998;26;;;;;5005;26;;;;;5001.5;0.328125
-2;2700;AMETHYSTS;9998;6;9995;26;;;10005;26;;;;;10001.5;28.0
-2;2800;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;28.0
-2;2800;STARFRUIT;4997;25;;;;;5004;25;;;;;5000.5;-12.7421875
-2;2900;STARFRUIT;4996;26;;;;;5003;26;;;;;4999.5;-26.53125
-2;2900;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;28.0
-2;3000;STARFRUIT;4997;3;4996;26;;;5003;26;;;;;5000.0;-41.453125
-2;3000;AMETHYSTS;9998;1;9995;26;;;10005;26;;;;;10001.5;48.0
-2;3100;STARFRUIT;4996;26;;;;;5001;5;5003;26;;;4998.5;-48.140625
-2;3100;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;49.0
-2;3200;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;52.0
-2;3200;STARFRUIT;4996;23;;;;;5001;3;5003;23;;;4998.5;-48.234375
-2;3300;STARFRUIT;4997;2;4996;30;;;5001;2;5003;32;;;4999.0;-54.1875
-2;3300;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;52.0
-2;3400;STARFRUIT;4997;26;;;;;5003;2;5004;24;;;5000.0;-58.7734375
-2;3400;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;52.0
-2;3500;STARFRUIT;4997;26;;;;;5004;26;;;;;5000.5;-60.109375
-2;3500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;52.0
-2;3600;AMETHYSTS;9995;21;;;;;9998;4;10005;21;;;9996.5;52.0
-2;3600;STARFRUIT;4997;21;;;;;5004;21;;;;;5000.5;-61.90625
-2;3700;STARFRUIT;4998;3;4997;24;;;5004;24;;;;;5001.0;-60.8125
-2;3700;AMETHYSTS;10002;1;9996;1;9995;23;10004;1;10005;23;;;10003.0;52.0
-2;3800;STARFRUIT;4997;25;;;;;5004;25;;;;;5000.5;-66.3359375
