timestamp;buyer;seller;symbol;currency;price;quantity
0;;;STARFRUIT;SEASHELLS;5003.0;1
0;;;STARFRUIT;SEASHELLS;5003.0;13
0;;;AMETHYSTS;SEASHELLS;10004.0;1
300;SUBMISSION;;STARFRUIT;SEASHELLS;5001.0;20
1100;SUBMISSION;;AMETHYSTS;SEASHELLS;9998.0;10
1200;SUBMISSION;;AMETHYSTS;SEASHELLS;9998.0;1
1300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002.0;1
1700;;;AMETHYSTS;SEASHELLS;10002.0;1
1700;;;STARFRUIT;SEASHELLS;5002.0;8
1800;;SUBMISSION;AMETHYSTS;SEASHELLS;10002.0;1
1900;;;STARFRUIT;SEASHELLS;5002.0;1
2000;SUBMISSION;;AMETHYSTS;SEASHELLS;9998.0;1
2400;;;STARFRUIT;SEASHELLS;4997.0;1
2900;;;AMETHYSTS;SEASHELLS;9998.0;2
2900;SUBMISSION;;AMETHYSTS;SEASHELLS;9998.0;10
3000;;SUBMISSION;AMETHYSTS;SEASHELLS;10001.0;1
3000;;;STARFRUIT;SEASHELLS;5003.0;1
3100;;;AMETHYSTS;SEASHELLS;9996.0;2
3100;;;STARFRUIT;SEASHELLS;4996.0;2
3200;;;AMETHYSTS;SEASHELLS;9996.0;1
3200;;;STARFRUIT;SEASHELLS;4996.0;2
3200;SUBMISSION;;AMETHYSTS;SEASHELLS;9996.0;1
3700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002.0;1
3800;;;AMETHYSTS;SEASHELLS;9996.0;1
3800;;;STARFRUIT;SEASHELLS;4997.0;14
3800;;;STARFRUIT;SEASHELLS;4997.0;1
4200;;;AMETHYSTS;SEASHELLS;9996.0;2
4200;SUBMISSION;;AMETHYSTS;SEASHELLS;9996.0;1
4300;;;AMETHYSTS;SEASHELLS;9995.0;2
4300;;;STARFRUIT;SEASHELLS;4998.0;2
4300;;;STARFRUIT;SEASHELLS;5003.0;1
4500;;;STARFRUIT;SEASHELLS;4997.0;1
4800;;SUBMISSION;STARFRUIT;SEASHELLS;5002.0;2
4800;;SUBMISSION;AMETHYSTS;SEASHELLS;10001.0;2
5200;;SUBMISSION;STARFRUIT;SEASHELLS;4998.0;8
5300;;SUBMISSION;STARFRUIT;SEASHELLS;5002.0;1
5300;;SUBMISSION;STARFRUIT;SEASHELLS;4999.0;29
5700;;;STARFRUIT;SEASHELLS;4999.0;1
6100;;;STARFRUIT;SEASHELLS;4999.0;1
6500;;;AMETHYSTS;SEASHELLS;9998.0;1
6600;;SUBMISSION;AMETHYSTS;SEASHELLS;10001.0;8
