day;timestamp;buyer;seller;currency;price;quantity
-2;1.0;Vinnie;Ruby;SEASHELLS;9996.0;1
-2;1.0;Remy;Ruby;SEASHELLS;9996.0;1
-2;16.0;Remy;Vinnie;SEASHELLS;10004.0;1
-2;26.0;Valentina;Remy;SEASHELLS;9998.0;1
-2;33.0;Vinnie;Remy;SEASHELLS;9996.0;1
-2;34.0;Valentina;Remy;SEASHELLS;9995.0;2
-2;37.0;Ruby;Valentina;SEASHELLS;10005.0;6
-2;41.0;Vladimir;Rhianna;SEASHELLS;9998.0;1
-2;43.0;Ruby;Vinnie;SEASHELLS;10004.0;2
-2;43.0;Ruby;Valentina;SEASHELLS;10004.0;1
-2;68.0;Vladimir;Remy;SEASHELLS;9998.0;2
-2;75.0;Remy;Vladimir;SEASHELLS;10002.0;1
-2;76.0;Remy;Valentina;SEASHELLS;10002.0;1
-2;87.0;Remy;Vladimir;SEASHELLS;10002.0;1
-2;88.0;Remy;Vladimir;SEASHELLS;10002.0;2
-2;89.0;Remy;Valentina;SEASHELLS;10002.0;1
-2;97.0;Vinnie;Ruby;SEASHELLS;10000.0;3
-2;102.0;Vinnie;Remy;SEASHELLS;9998.0;1
-2;103.0;Vinnie;Remy;SEASHELLS;9996.0;1
-2;112.0;Remy;Valentina;SEASHELLS;10005.0;2
-2;131.0;Valentina;Remy;SEASHELLS;9998.0;1
-2;137.0;Vinnie;Remy;SEASHELLS;9998.0;1
-2;140.0;Vinnie;Remy;SEASHELLS;9996.0;1
-2;140.0;Valentina;Remy;SEASHELLS;9996.0;1
-2;141.0;Ruby;Valentina;SEASHELLS;10005.0;7
-2;152.0;Ruby;Valentina;SEASHELLS;10005.0;4
-2;155.0;Rhianna;Vladimir;SEASHELLS;10002.0;5
-2;174.0;Remy;Vladimir;SEASHELLS;10002.0;1
-2;183.0;Vladimir;Remy;SEASHELLS;9998.0;1
-2;184.0;Remy;Valentina;SEASHELLS;10005.0;2
-2;184.0;Vladimir;Remy;SEASHELLS;9998.0;1
-2;186.0;Ruby;Valentina;SEASHELLS;10005.0;5
-2;196.0;Remy;Valentina;SEASHELLS;10002.0;1
-2;197.0;Rhianna;Valentina;SEASHELLS;10002.0;1
-2;200.0;Remy;Valentina;SEASHELLS;10002.0;1
-2;203.0;Rhianna;Valentina;SEASHELLS;10002.0;1
-2;207.0;Valentina;Remy;SEASHELLS;9998.0;1
-2;207.0;Valentina;Amelia;SEASHELLS;9995.0;9
-2;210.0;Remy;Remy;SEASHELLS;9998.0;1
-2;214.0;Remy;Vladimir;SEASHELLS;10002.0;1
-2;228.0;Amelia;Rhianna;SEASHELLS;9998.0;1
-2;231.0;Adam;Rhianna;SEASHELLS;9998.0;4
-2;234.0;Vinnie;Rhianna;SEASHELLS;9998.0;2
-2;240.0;Valentina;Rhianna;SEASHELLS;9998.0;3
-2;240.0;Valentina;Ruby;SEASHELLS;9995.0;8
-2;244.0;Remy;Ruby;SEASHELLS;10002.0;1
-2;247.0;Valentina;Ruby;SEASHELLS;9996.0;2
-2;247.0;Vinnie;Ruby;SEASHELLS;9996.0;2
-2;252.0;Remy;Valentina;SEASHELLS;10002.0;1
-2;257.0;Remy;Vinnie;SEASHELLS;10004.0;2
-2;258.0;Adam;Valentina;SEASHELLS;10002.0;3
-2;258.0;Adam;Vladimir;SEASHELLS;10002.0;8
-2;265.0;Amelia;Valentina;SEASHELLS;10005.0;9
-2;271.0;Remy;Valentina;SEASHELLS;10002.0;1
-2;278.0;Vinnie;Rhianna;SEASHELLS;9998.0;3
-2;278.0;Valentina;Rhianna;SEASHELLS;9998.0;1
