day;timestamp;buyer;seller;currency;price;quantity
0;20001.0;Remy;Vinnie;SEASHELLS;8001.0;8
0;20014.0;Vinnie;Vladimir;SEASHELLS;8000.0;7
0;20036.0;Remy;Vinnie;SEASHELLS;8005.0;8
0;20059.0;Vinnie;Remy;SEASHELLS;7995.0;6
0;20059.0;Vinnie;Vladimir;SEASHELLS;7995.0;10
0;20075.0;Vinnie;Vladimir;SEASHELLS;7999.0;7
0;20081.0;Remy;Vinnie;SEASHELLS;8003.0;5
0;20101.0;Vinnie;Vladimir;SEASHELLS;8002.0;9
0;20109.0;Remy;Vinnie;SEASHELLS;8000.0;5
0;20127.0;Vinnie;Remy;SEASHELLS;8005.0;5
0;20128.0;Vinnie;Remy;SEASHELLS;8004.0;6
0;20132.0;Vinnie;Vladimir;SEASHELLS;8007.0;10
0;20137.0;Vinnie;Vladimir;SEASHELLS;8007.0;10
0;20138.0;Vinnie;Vladimir;SEASHELLS;8006.0;7
0;20139.0;Vinnie;Remy;SEASHELLS;8006.0;7
0;20156.0;Vinnie;Remy;SEASHELLS;8012.0;8
0;20158.0;Remy;Vinnie;SEASHELLS;8014.0;7
0;20168.0;Vinnie;Vladimir;SEASHELLS;8010.0;7
0;20172.0;Vinnie;Remy;SEASHELLS;8010.0;6
0;20184.0;Vinnie;Remy;SEASHELLS;8007.0;5
0;20198.0;Vinnie;Remy;SEASHELLS;8017.0;5
0;20201.0;Vinnie;Remy;SEASHELLS;8016.0;6
0;20209.0;Vinnie;Vladimir;SEASHELLS;8019.0;9
0;20216.0;Vinnie;Remy;SEASHELLS;8019.0;7
0;20242.0;Remy;Vinnie;SEASHELLS;8031.0;7
0;20254.0;Remy;Vinnie;SEASHELLS;8032.0;8
0;20261.0;Vinnie;Remy;SEASHELLS;8031.0;6
0;20275.0;Vinnie;Vladimir;SEASHELLS;8030.0;7
0;20281.0;Remy;Vinnie;SEASHELLS;8031.0;8
0;20286.0;Remy;Vinnie;SEASHELLS;8031.0;8
0;20294.0;Remy;Vinnie;SEASHELLS;8037.0;8
0;20305.0;Vinnie;Remy;SEASHELLS;8036.0;6
0;20317.0;Remy;Vinnie;SEASHELLS;8040.0;7
0;20323.0;Vinnie;Vladimir;SEASHELLS;8042.0;8
0;20335.0;Vinnie;Remy;SEASHELLS;8034.0;8
