day;timestamp;buyer;seller;currency;price;quantity
1;30053.0;Vinnie;Vinnie;SEASHELLS;9997.0;8
1;30094.0;Raj;Vinnie;SEASHELLS;10005.0;6
1;30110.0;Vinnie;Vinnie;SEASHELLS;10007.0;10
1;30126.0;Vinnie;Raj;SEASHELLS;10003.0;10
1;30150.0;Vinnie;Vinnie;SEASHELLS;10004.0;10
1;30161.0;Vinnie;Vinnie;SEASHELLS;10001.0;8
1;30163.0;Vinnie;Vinnie;SEASHELLS;10000.0;10
1;30172.0;Vinnie;Vinnie;SEASHELLS;10000.0;10
1;30202.0;Vinnie;Vinnie;SEASHELLS;9990.0;5
1;30202.0;Vinnie;Raj;SEASHELLS;9990.0;10
1;30209.0;Vinnie;Raj;SEASHELLS;9993.0;10
1;30237.0;Vinnie;Vinnie;SEASHELLS;9988.0;7
1;30239.0;Vinnie;Vinnie;SEASHELLS;9988.0;5
1;30250.0;Vinnie;Vinnie;SEASHELLS;9990.0;6
1;30255.0;Vinnie;Vinnie;SEASHELLS;9991.0;10
1;30258.0;Vinnie;Vinnie;SEASHELLS;9993.0;9
1;30266.0;Rhianna;Vinnie;SEASHELLS;9996.0;3
1;30303.0;Vinnie;Vinnie;SEASHELLS;9994.0;7
1;30306.0;Vinnie;Vinnie;SEASHELLS;9993.0;9
1;30314.0;Vinnie;Vinnie;SEASHELLS;9993.0;7
1;30325.0;Vinnie;Vinnie;SEASHELLS;9993.0;5
1;30331.0;Vinnie;Rhianna;SEASHELLS;9994.0;1
1;30333.0;Vinnie;Vinnie;SEASHELLS;9994.0;10
1;30413.0;Vinnie;Vinnie;SEASHELLS;9981.0;9
1;30417.0;Vinnie;Vinnie;SEASHELLS;9978.0;10
1;30425.0;Vinnie;Vinnie;SEASHELLS;9979.0;8
1;30428.0;Vinnie;Vinnie;SEASHELLS;9978.0;5
1;30430.0;Vinnie;Vinnie;SEASHELLS;9975.0;5
1;30432.0;Raj;Vinnie;SEASHELLS;9974.0;8
1;30434.0;Vinnie;Vinnie;SEASHELLS;9975.0;9
1;30464.0;Vinnie;Vinnie;SEASHELLS;9970.0;5
1;30465.0;Vinnie;Raj;SEASHELLS;9969.0;8
1;30482.0;Raj;Vinnie;SEASHELLS;9969.0;8
1;30487.0;Vinnie;Vinnie;SEASHELLS;9964.0;5
1;30514.0;Rhianna;Vinnie;SEASHELLS;9969.0;3
1;30523.0;Vinnie;Vinnie;SEASHELLS;9970.0;8
1;30529.0;Vinnie;Rhianna;SEASHELLS;9972.0;3
1;30542.0;Vinnie;Raj;SEASHELLS;9975.0;6
1;30555.0;Vinnie;Rhianna;SEASHELLS;9974.0;3
1;30563.0;Vinnie;Vinnie;SEASHELLS;9973.0;9
1;30581.0;Rhianna;Vinnie;SEASHELLS;9966.0;2
1;30589.0;Vinnie;Raj;SEASHELLS;9962.0;5
1;30594.0;Vinnie;Vinnie;SEASHELLS;9960.0;5
1;30612.0;Vinnie;Vinnie;SEASHELLS;9956.0;9
1;30617.0;Vinnie;Rhianna;SEASHELLS;9952.0;3
1;30642.0;Rhianna;Vinnie;SEASHELLS;9947.0;3
1;30656.0;Vinnie;Vinnie;SEASHELLS;9943.0;5
1;30659.0;Vinnie;Vinnie;SEASHELLS;9945.0;7
1;30670.0;Vinnie;Vinnie;SEASHELLS;9943.0;7
1;30692.0;Vinnie;Vinnie;SEASHELLS;9954.0;10
1;30700.0;Vinnie;Vinnie;SEASHELLS;9953.0;8
1;30704.0;Raj;Vinnie;SEASHELLS;9952.0;7
1;30715.0;Vinnie;Vinnie;SEASHELLS;9955.0;6
1;30719.0;Vinnie;Vinnie;SEASHELLS;9956.0;8
1;30732.0;Vinnie;Vinnie;SEASHELLS;9955.0;9
1;30742.0;Rhianna;Vinnie;SEASHELLS;9960.0;3
1;30751.0;Vinnie;Vinnie;SEASHELLS;9963.0;7
1;30773.0;Vinnie;Vinnie;SEASHELLS;9958.0;8
1;30778.0;Vinnie;Vinnie;SEASHELLS;9954.0;6
1;30785.0;Vinnie;Raj;SEASHELLS;9956.0;5
1;30794.0;Vinnie;Vinnie;SEASHELLS;9953.0;7
1;30830.0;Vinnie;Vinnie;SEASHELLS;9961.0;5
1;30856.0;Vinnie;Vinnie;SEASHELLS;9952.0;9
1;30866.0;Vinnie;Vinnie;SEASHELLS;9950.0;6
1;30886.0;Vinnie;Vinnie;SEASHELLS;9949.0;9
1;30894.0;Vinnie;Vinnie;SEASHELLS;9941.0;5
1;30904.0;Vinnie;Vinnie;SEASHELLS;9943.0;9
1;30966.0;Vinnie;Vinnie;SEASHELLS;9951.0;5
1;30972.0;Raj;Vinnie;SEASHELLS;9952.0;7
1;30974.0;Vinnie;Vinnie;SEASHELLS;9950.0;7
1;31025.0;Raj;Vinnie;SEASHELLS;9958.0;8
1;31029.0;Vinnie;Vinnie;SEASHELLS;9955.0;6
1;31033.0;Vinnie;Vinnie;SEASHELLS;9957.0;5
1;31036.0;Vinnie;Vinnie;SEASHELLS;9956.0;5
1;31061.0;Vinnie;Vinnie;SEASHELLS;9953.0;9
1;31062.0;Vinnie;Vinnie;SEASHELLS;9953.0;8
1;31073.0;Vinnie;Vinnie;SEASHELLS;9951.0;8
1;31076.0;Raj;Vinnie;SEASHELLS;9952.0;6
1;31086.0;Vinnie;Raj;SEASHELLS;9948.0;5
1;31129.0;Vinnie;Vinnie;SEASHELLS;9966.0;9
1;31143.0;Vinnie;Vinnie;SEASHELLS;9958.0;9
1;31171.0;Vinnie;Vinnie;SEASHELLS;9950.0;10
1;31182.0;Vinnie;Vinnie;SEASHELLS;9948.0;5
1;31187.0;Vinnie;Rhianna;SEASHELLS;9949.0;3
1;31190.0;Vinnie;Vinnie;SEASHELLS;9950.0;6
1;31253.0;Vinnie;Vinnie;SEASHELLS;9956.0;8
1;31257.0;Vinnie;Vinnie;SEASHELLS;9955.0;9
1;31257.0;Rhianna;Vinnie;SEASHELLS;9956.0;3
1;31272.0;Raj;Vinnie;SEASHELLS;9958.0;6
1;31284.0;Vinnie;Vinnie;SEASHELLS;9958.0;8
1;31286.0;Vinnie;Raj;SEASHELLS;9956.0;8
1;31313.0;Vinnie;Vinnie;SEASHELLS;9956.0;5
1;31342.0;Vinnie;Vinnie;SEASHELLS;9962.0;5
1;31361.0;Vinnie;Raj;SEASHELLS;9970.0;9
1;31406.0;Vinnie;Vinnie;SEASHELLS;9961.0;7
1;31410.0;Vinnie;Vinnie;SEASHELLS;9963.0;8
1;31426.0;Raj;Vinnie;SEASHELLS;9962.0;10
1;31436.0;Raj;Vinnie;SEASHELLS;9960.0;9
1;31470.0;Vinnie;Vinnie;SEASHELLS;9959.0;9
1;31476.0;Vinnie;Raj;SEASHELLS;9959.0;8
1;31490.0;Vinnie;Vinnie;SEASHELLS;9958.0;10
1;31499.0;Vinnie;Vinnie;SEASHELLS;9957.0;10
1;31506.0;Vinnie;Rhianna;SEASHELLS;9958.0;1
1;31542.0;Vinnie;Rhianna;SEASHELLS;9963.0;3
1;31543.0;Vinnie;Raj;SEASHELLS;9964.0;8
1;31562.0;Rhianna;Vinnie;SEASHELLS;9968.0;1
1;31580.0;Vinnie;Vinnie;SEASHELLS;9973.0;5
1;31600.0;Vinnie;Vinnie;SEASHELLS;9971.0;8
1;31630.0;Vinnie;Vinnie;SEASHELLS;9973.0;7
1;31658.0;Vinnie;Vinnie;SEASHELLS;9979.0;5
1;31667.0;Vinnie;Vinnie;SEASHELLS;9977.0;7
1;31683.0;Vinnie;Vinnie;SEASHELLS;9973.0;9
1;31712.0;Vinnie;Raj;SEASHELLS;9972.0;9
1;31726.0;Vinnie;Vinnie;SEASHELLS;9975.0;9
1;31740.0;Vinnie;Rhianna;SEASHELLS;9978.0;1
1;31751.0;Vinnie;Vinnie;SEASHELLS;9978.0;5
1;31758.0;Raj;Vinnie;SEASHELLS;9980.0;8
1;31770.0;Rhianna;Vinnie;SEASHELLS;9975.0;2
1;31778.0;Rhianna;Vinnie;SEASHELLS;9975.0;2
1;31785.0;Vinnie;Raj;SEASHELLS;9975.0;10
1;31795.0;Rhianna;Vinnie;SEASHELLS;9976.0;3
1;31799.0;Vinnie;Raj;SEASHELLS;9974.0;5
1;31823.0;Vinnie;Vinnie;SEASHELLS;9971.0;10
1;31828.0;Vinnie;Vinnie;SEASHELLS;9970.0;5
1;31837.0;Vinnie;Vinnie;SEASHELLS;9975.0;9
1;31838.0;Vinnie;Vinnie;SEASHELLS;9976.0;9
1;31838.0;Vinnie;Raj;SEASHELLS;9976.0;8
1;31848.0;Vinnie;Vinnie;SEASHELLS;9974.0;10
1;31856.0;Vinnie;Vinnie;SEASHELLS;9971.0;7
1;31884.0;Vinnie;Rhianna;SEASHELLS;9976.0;2
1;31889.0;Vinnie;Vinnie;SEASHELLS;9978.0;5
1;31899.0;Vinnie;Vinnie;SEASHELLS;9975.0;6
1;31952.0;Vinnie;Vinnie;SEASHELLS;9978.0;9
1;31971.0;Rhianna;Vinnie;SEASHELLS;9974.0;2
1;31977.0;Vinnie;Vinnie;SEASHELLS;9973.0;6
1;31987.0;Vinnie;Vinnie;SEASHELLS;9976.0;5
1;32041.0;Vinnie;Vinnie;SEASHELLS;9975.0;5
1;32074.0;Vinnie;Rhianna;SEASHELLS;9970.0;2
1;32093.0;Vinnie;Vinnie;SEASHELLS;9965.0;6
1;32113.0;Vinnie;Raj;SEASHELLS;9967.0;8
1;32122.0;Vinnie;Vinnie;SEASHELLS;9966.0;9
1;32124.0;Vinnie;Vinnie;SEASHELLS;9966.0;5
1;32148.0;Raj;Vinnie;SEASHELLS;9964.0;10
1;32184.0;Raj;Vinnie;SEASHELLS;9968.0;7
1;32189.0;Vinnie;Vinnie;SEASHELLS;9966.0;5
1;32212.0;Vinnie;Vinnie;SEASHELLS;9960.0;9
1;32213.0;Vinnie;Vinnie;SEASHELLS;9960.0;5
1;32214.0;Vinnie;Vinnie;SEASHELLS;9961.0;5
1;32227.0;Vinnie;Vinnie;SEASHELLS;9962.0;9
1;32268.0;Vinnie;Vinnie;SEASHELLS;9957.0;5
1;32295.0;Vinnie;Vinnie;SEASHELLS;9961.0;10
1;32328.0;Raj;Vinnie;SEASHELLS;9959.0;7
1;32330.0;Rhianna;Vinnie;SEASHELLS;9958.0;2
1;32347.0;Vinnie;Vinnie;SEASHELLS;9957.0;8
1;32355.0;Vinnie;Vinnie;SEASHELLS;9961.0;5
1;32432.0;Vinnie;Vinnie;SEASHELLS;9957.0;10
1;32470.0;Vinnie;Vinnie;SEASHELLS;9955.0;7
1;32476.0;Rhianna;Vinnie;SEASHELLS;9952.0;1
1;32492.0;Vinnie;Vinnie;SEASHELLS;9951.0;9
1;32493.0;Vinnie;Vinnie;SEASHELLS;9950.0;7
1;32501.0;Raj;Vinnie;SEASHELLS;9951.0;10
1;32504.0;Vinnie;Raj;SEASHELLS;9951.0;9
1;32515.0;Vinnie;Vinnie;SEASHELLS;9955.0;7
1;32534.0;Vinnie;Raj;SEASHELLS;9955.0;5
1;32546.0;Vinnie;Vinnie;SEASHELLS;9955.0;10
1;32550.0;Vinnie;Vinnie;SEASHELLS;9956.0;5
1;32554.0;Vinnie;Vinnie;SEASHELLS;9956.0;9
1;32569.0;Vinnie;Raj;SEASHELLS;9958.0;8
1;32578.0;Vinnie;Vinnie;SEASHELLS;9959.0;8
1;32588.0;Rhianna;Vinnie;SEASHELLS;9963.0;3
1;32590.0;Rhianna;Vinnie;SEASHELLS;9963.0;1
1;32610.0;Vinnie;Vinnie;SEASHELLS;9971.0;8
1;32648.0;Raj;Vinnie;SEASHELLS;9966.0;6
1;32663.0;Vinnie;Vinnie;SEASHELLS;9963.0;5
1;32670.0;Rhianna;Vinnie;SEASHELLS;9969.0;3
1;32673.0;Raj;Vinnie;SEASHELLS;9970.0;10
1;32696.0;Vinnie;Rhianna;SEASHELLS;9977.0;2
1;32701.0;Vinnie;Vinnie;SEASHELLS;9975.0;6
1;32703.0;Vinnie;Vinnie;SEASHELLS;9975.0;6
1;32706.0;Vinnie;Vinnie;SEASHELLS;9973.0;8
1;32748.0;Vinnie;Vinnie;SEASHELLS;9981.0;6
1;32751.0;Vinnie;Rhianna;SEASHELLS;9980.0;1
1;32806.0;Vinnie;Vinnie;SEASHELLS;9991.0;6
1;32831.0;Vinnie;Rhianna;SEASHELLS;9989.0;3
1;32851.0;Vinnie;Vinnie;SEASHELLS;9991.0;8
1;32878.0;Vinnie;Vinnie;SEASHELLS;10001.0;10
1;32898.0;Vinnie;Vinnie;SEASHELLS;10009.0;6
1;32988.0;Vinnie;Vinnie;SEASHELLS;10027.0;9
1;33009.0;Raj;Vinnie;SEASHELLS;10028.0;9
1;33022.0;Vinnie;Vinnie;SEASHELLS;10028.0;5
1;33027.0;Raj;Vinnie;SEASHELLS;10033.0;6
1;33028.0;Vinnie;Vinnie;SEASHELLS;10033.0;7
1;33030.0;Vinnie;Vinnie;SEASHELLS;10033.0;10
1;33046.0;Raj;Vinnie;SEASHELLS;10029.0;7
1;33093.0;Vinnie;Vinnie;SEASHELLS;10027.0;10
1;33094.0;Raj;Vinnie;SEASHELLS;10029.0;7
1;33096.0;Vinnie;Vinnie;SEASHELLS;10027.0;8
1;33111.0;Vinnie;Rhianna;SEASHELLS;10024.0;1
1;33111.0;Vinnie;Vinnie;SEASHELLS;10024.0;6
1;33112.0;Vinnie;Raj;SEASHELLS;10023.0;8
1;33131.0;Raj;Vinnie;SEASHELLS;10024.0;7
1;33142.0;Vinnie;Vinnie;SEASHELLS;10022.0;8
1;33160.0;Vinnie;Vinnie;SEASHELLS;10020.0;6
1;33170.0;Vinnie;Vinnie;SEASHELLS;10023.0;6
1;33194.0;Vinnie;Raj;SEASHELLS;10018.0;8
1;33203.0;Vinnie;Rhianna;SEASHELLS;10024.0;2
1;33222.0;Raj;Vinnie;SEASHELLS;10027.0;6
1;33227.0;Vinnie;Vinnie;SEASHELLS;10029.0;6
1;33233.0;Rhianna;Vinnie;SEASHELLS;10032.0;1
1;33234.0;Vinnie;Vinnie;SEASHELLS;10029.0;8
1;33241.0;Vinnie;Vinnie;SEASHELLS;10026.0;6
1;33252.0;Vinnie;Vinnie;SEASHELLS;10024.0;9
1;33268.0;Vinnie;Vinnie;SEASHELLS;10027.0;7
1;33294.0;Vinnie;Raj;SEASHELLS;10038.0;6
1;33294.0;Vinnie;Rhianna;SEASHELLS;10038.0;2
1;33296.0;Vinnie;Rhianna;SEASHELLS;10038.0;2
1;33303.0;Raj;Vinnie;SEASHELLS;10044.0;8
1;33310.0;Vinnie;Vinnie;SEASHELLS;10045.0;10
1;33322.0;Rhianna;Vinnie;SEASHELLS;10052.0;1
1;33329.0;Vinnie;Rhianna;SEASHELLS;10050.0;1
1;33356.0;Vinnie;Vinnie;SEASHELLS;10040.0;5
1;33361.0;Vinnie;Rhianna;SEASHELLS;10040.0;3
1;33363.0;Vinnie;Vinnie;SEASHELLS;10039.0;7
1;33383.0;Vinnie;Vinnie;SEASHELLS;10038.0;8
1;33405.0;Rhianna;Vinnie;SEASHELLS;10041.0;1
1;33411.0;Vinnie;Vinnie;SEASHELLS;10041.0;6
1;33420.0;Vinnie;Vinnie;SEASHELLS;10043.0;6
1;33435.0;Vinnie;Vinnie;SEASHELLS;10042.0;5
1;33443.0;Vinnie;Vinnie;SEASHELLS;10037.0;6
1;33468.0;Raj;Vinnie;SEASHELLS;10043.0;9
1;33474.0;Rhianna;Vinnie;SEASHELLS;10041.0;2
1;33508.0;Raj;Vinnie;SEASHELLS;10039.0;10
1;33523.0;Vinnie;Rhianna;SEASHELLS;10043.0;1
1;33523.0;Vinnie;Vinnie;SEASHELLS;10043.0;7
1;33543.0;Vinnie;Vinnie;SEASHELLS;10043.0;9
1;33575.0;Vinnie;Vinnie;SEASHELLS;10041.0;6
1;33579.0;Raj;Vinnie;SEASHELLS;10041.0;8
1;33588.0;Vinnie;Vinnie;SEASHELLS;10040.0;10
1;33598.0;Vinnie;Raj;SEASHELLS;10041.0;10
1;33600.0;Vinnie;Vinnie;SEASHELLS;10039.0;9
1;33601.0;Vinnie;Vinnie;SEASHELLS;10038.0;9
1;33609.0;Vinnie;Rhianna;SEASHELLS;10039.0;2
1;33624.0;Vinnie;Rhianna;SEASHELLS;10044.0;3
1;33655.0;Vinnie;Vinnie;SEASHELLS;10049.0;10
1;33665.0;Vinnie;Vinnie;SEASHELLS;10050.0;8
1;33672.0;Vinnie;Vinnie;SEASHELLS;10054.0;10
1;33675.0;Vinnie;Raj;SEASHELLS;10053.0;9
1;33677.0;Vinnie;Raj;SEASHELLS;10055.0;10
1;33712.0;Rhianna;Vinnie;SEASHELLS;10056.0;1
1;33723.0;Raj;Vinnie;SEASHELLS;10059.0;7
1;33751.0;Rhianna;Vinnie;SEASHELLS;10060.0;3
1;33753.0;Raj;Vinnie;SEASHELLS;10058.0;8
1;33781.0;Vinnie;Vinnie;SEASHELLS;10059.0;5
1;33783.0;Raj;Vinnie;SEASHELLS;10060.0;7
1;33787.0;Vinnie;Vinnie;SEASHELLS;10059.0;9
1;33797.0;Vinnie;Vinnie;SEASHELLS;10056.0;9
1;33862.0;Vinnie;Vinnie;SEASHELLS;10063.0;9
1;33872.0;Raj;Vinnie;SEASHELLS;10068.0;7
1;33888.0;Vinnie;Vinnie;SEASHELLS;10061.0;9
1;33893.0;Vinnie;Vinnie;SEASHELLS;10062.0;8
1;33901.0;Vinnie;Vinnie;SEASHELLS;10061.0;9
1;33910.0;Vinnie;Vinnie;SEASHELLS;10062.0;7
1;33946.0;Vinnie;Vinnie;SEASHELLS;10062.0;10
1;33953.0;Vinnie;Vinnie;SEASHELLS;10061.0;6
1;33955.0;Vinnie;Rhianna;SEASHELLS;10059.0;3
1;33957.0;Vinnie;Vinnie;SEASHELLS;10060.0;8
1;33961.0;Vinnie;Vinnie;SEASHELLS;10063.0;9
1;34015.0;Vinnie;Rhianna;SEASHELLS;10047.0;2
1;34020.0;Vinnie;Vinnie;SEASHELLS;10043.0;9
1;34029.0;Raj;Vinnie;SEASHELLS;10043.0;6
1;34044.0;Vinnie;Rhianna;SEASHELLS;10036.0;1
1;34060.0;Rhianna;Vinnie;SEASHELLS;10029.0;1
1;34064.0;Vinnie;Vinnie;SEASHELLS;10030.0;9
1;34083.0;Raj;Vinnie;SEASHELLS;10028.0;10
1;34084.0;Vinnie;Vinnie;SEASHELLS;10026.0;5
1;34098.0;Vinnie;Vinnie;SEASHELLS;10021.0;10
1;34100.0;Vinnie;Vinnie;SEASHELLS;10020.0;6
1;34101.0;Vinnie;Vinnie;SEASHELLS;10021.0;6
1;34109.0;Vinnie;Vinnie;SEASHELLS;10023.0;7
1;34156.0;Vinnie;Vinnie;SEASHELLS;10029.0;10
1;34166.0;Rhianna;Vinnie;SEASHELLS;10026.0;1
1;34167.0;Vinnie;Vinnie;SEASHELLS;10025.0;7
1;34173.0;Vinnie;Vinnie;SEASHELLS;10018.0;6
1;34232.0;Vinnie;Vinnie;SEASHELLS;10028.0;7
1;34233.0;Raj;Vinnie;SEASHELLS;10030.0;9
