day;timestamp;buyer;seller;currency;price;quantity
1;30009.0;Valentina;Valentina;SEASHELLS;636.0;5
1;30010.0;Valentina;Vinnie;SEASHELLS;634.0;17
1;30012.0;Valentina;Ruby;SEASHELLS;635.0;17
1;30020.0;Valentina;Vinnie;SEASHELLS;635.0;16
1;30021.0;Valentina;Vinnie;SEASHELLS;637.0;14
1;30031.0;Valentina;Valentina;SEASHELLS;631.0;6
1;30040.0;Vinnie;Vinnie;SEASHELLS;635.0;2
1;30040.0;Vladimir;Vinnie;SEASHELLS;635.0;10
1;30043.0;Ruby;Valentina;SEASHELLS;635.0;20
1;30044.0;Valentina;Vinnie;SEASHELLS;635.0;16
1;30044.0;Vladimir;Vinnie;SEASHELLS;635.0;2
1;30050.0;Valentina;Ruby;SEASHELLS;636.0;12
1;30066.0;Valentina;Rhianna;SEASHELLS;642.0;9
1;30069.0;Valentina;Vinnie;SEASHELLS;643.0;11
1;30080.0;Valentina;Ruby;SEASHELLS;635.0;18
1;30090.0;Valentina;Vinnie;SEASHELLS;639.0;15
1;30090.0;Vladimir;Vinnie;SEASHELLS;639.0;5
1;30106.0;Valentina;Ruby;SEASHELLS;635.0;16
1;30106.0;Vladimir;Ruby;SEASHELLS;635.0;4
1;30146.0;Valentina;Rhianna;SEASHELLS;641.0;11
1;30147.0;Valentina;Valentina;SEASHELLS;641.0;6
1;30147.0;Valentina;Vinnie;SEASHELLS;641.0;11
1;30154.0;Valentina;Vinnie;SEASHELLS;641.0;14
1;30156.0;Ruby;Valentina;SEASHELLS;639.0;16
1;30156.0;Ruby;Vladimir;SEASHELLS;639.0;4
1;30165.0;Valentina;Ruby;SEASHELLS;635.0;11
1;30167.0;Valentina;Valentina;SEASHELLS;633.0;9
1;30185.0;Ruby;Valentina;SEASHELLS;638.0;14
1;30208.0;Valentina;Valentina;SEASHELLS;631.0;6
1;30230.0;Valentina;Valentina;SEASHELLS;627.0;7
1;30267.0;Valentina;Vinnie;SEASHELLS;625.0;17
1;30267.0;Vladimir;Valentina;SEASHELLS;625.0;10
1;30269.0;Valentina;Vinnie;SEASHELLS;623.0;20
1;30295.0;Valentina;Vinnie;SEASHELLS;624.0;20
1;30311.0;Valentina;Vinnie;SEASHELLS;628.0;19
1;30319.0;Ruby;Valentina;SEASHELLS;637.0;11
1;30332.0;Valentina;Vinnie;SEASHELLS;637.0;15
1;30343.0;Ruby;Valentina;SEASHELLS;630.0;20
1;30355.0;Valentina;Vinnie;SEASHELLS;635.0;15
1;30361.0;Ruby;Valentina;SEASHELLS;634.0;10
1;30363.0;Valentina;Rhianna;SEASHELLS;634.0;5
1;30370.0;Valentina;Ruby;SEASHELLS;634.0;15
1;30374.0;Valentina;Vinnie;SEASHELLS;632.0;20
1;30389.0;Valentina;Vinnie;SEASHELLS;638.0;11
1;30392.0;Valentina;Vinnie;SEASHELLS;637.0;12
1;30398.0;Valentina;Valentina;SEASHELLS;643.0;10
1;30409.0;Valentina;Vinnie;SEASHELLS;636.0;16
1;30416.0;Ruby;Valentina;SEASHELLS;638.0;16
1;30436.0;Valentina;Vinnie;SEASHELLS;627.0;12
1;30441.0;Valentina;Valentina;SEASHELLS;629.0;5
1;30447.0;Valentina;Vinnie;SEASHELLS;627.0;13
1;30447.0;Ruby;Valentina;SEASHELLS;628.0;19
1;30458.0;Valentina;Vinnie;SEASHELLS;620.0;20
1;30467.0;Valentina;Vinnie;SEASHELLS;616.0;16
1;30474.0;Ruby;Valentina;SEASHELLS;615.0;14
1;30479.0;Ruby;Valentina;SEASHELLS;614.0;13
1;30480.0;Ruby;Valentina;SEASHELLS;614.0;16
1;30482.0;Ruby;Valentina;SEASHELLS;615.0;10
1;30497.0;Valentina;Vinnie;SEASHELLS;613.0;20
1;30500.0;Valentina;Ruby;SEASHELLS;618.0;12
1;30507.0;Valentina;Vinnie;SEASHELLS;616.0;13
1;30512.0;Valentina;Rhianna;SEASHELLS;619.0;14
1;30526.0;Vinnie;Vinnie;SEASHELLS;621.0;2
1;30543.0;Rhianna;Valentina;SEASHELLS;622.0;4
1;30545.0;Valentina;Vinnie;SEASHELLS;621.0;11
1;30545.0;Ruby;Valentina;SEASHELLS;622.0;10
1;30554.0;Valentina;Vinnie;SEASHELLS;625.0;15
1;30554.0;Vladimir;Vinnie;SEASHELLS;625.0;1
1;30562.0;Ruby;Valentina;SEASHELLS;628.0;11
1;30567.0;Ruby;Valentina;SEASHELLS;626.0;13
1;30575.0;Valentina;Valentina;SEASHELLS;622.0;6
1;30576.0;Valentina;Vinnie;SEASHELLS;622.0;14
1;30591.0;Valentina;Vinnie;SEASHELLS;617.0;17
1;30597.0;Valentina;Valentina;SEASHELLS;616.0;9
1;30610.0;Vladimir;Ruby;SEASHELLS;615.0;12
1;30620.0;Valentina;Vinnie;SEASHELLS;610.0;14
1;30627.0;Valentina;Vinnie;SEASHELLS;605.0;18
1;30630.0;Valentina;Vinnie;SEASHELLS;606.0;15
1;30631.0;Valentina;Ruby;SEASHELLS;604.0;11
1;30633.0;Ruby;Valentina;SEASHELLS;606.0;17
1;30666.0;Ruby;Valentina;SEASHELLS;605.0;18
1;30674.0;Valentina;Vinnie;SEASHELLS;609.0;11
1;30705.0;Valentina;Valentina;SEASHELLS;614.0;8
1;30716.0;Valentina;Valentina;SEASHELLS;615.0;7
1;30721.0;Valentina;Vinnie;SEASHELLS;613.0;17
1;30734.0;Valentina;Vinnie;SEASHELLS;611.0;10
1;30738.0;Ruby;Valentina;SEASHELLS;613.0;15
1;30749.0;Ruby;Valentina;SEASHELLS;614.0;14
1;30749.0;Valentina;Rhianna;SEASHELLS;613.0;14
1;30756.0;Ruby;Valentina;SEASHELLS;611.0;16
1;30756.0;Ruby;Vladimir;SEASHELLS;611.0;2
1;30757.0;Valentina;Rhianna;SEASHELLS;609.0;9
1;30765.0;Ruby;Valentina;SEASHELLS;607.0;16
1;30777.0;Valentina;Vinnie;SEASHELLS;603.0;17
1;30780.0;Valentina;Ruby;SEASHELLS;602.0;11
1;30782.0;Ruby;Vladimir;SEASHELLS;601.0;1
1;30782.0;Ruby;Valentina;SEASHELLS;601.0;18
1;30786.0;Valentina;Vinnie;SEASHELLS;598.0;13
1;30789.0;Valentina;Valentina;SEASHELLS;597.0;6
1;30795.0;Valentina;Vinnie;SEASHELLS;598.0;13
1;30833.0;Valentina;Vinnie;SEASHELLS;605.0;17
1;30834.0;Vladimir;Vinnie;SEASHELLS;607.0;12
1;30874.0;Valentina;Vinnie;SEASHELLS;599.0;11
1;30884.0;Valentina;Valentina;SEASHELLS;594.0;8
1;30886.0;Valentina;Vinnie;SEASHELLS;593.0;20
1;30887.0;Valentina;Valentina;SEASHELLS;594.0;7
1;30893.0;Valentina;Vinnie;SEASHELLS;589.0;16
1;30917.0;Valentina;Ruby;SEASHELLS;586.0;13
1;30923.0;Valentina;Rhianna;SEASHELLS;591.0;8
1;30946.0;Valentina;Vinnie;SEASHELLS;587.0;11
1;30947.0;Valentina;Vinnie;SEASHELLS;587.0;16
1;30960.0;Valentina;Ruby;SEASHELLS;586.0;12
1;30964.0;Ruby;Valentina;SEASHELLS;589.0;11
1;30964.0;Valentina;Vinnie;SEASHELLS;588.0;12
1;30967.0;Ruby;Valentina;SEASHELLS;593.0;18
1;30971.0;Valentina;Vinnie;SEASHELLS;592.0;17
1;30978.0;Valentina;Ruby;SEASHELLS;590.0;18
1;30980.0;Valentina;Vinnie;SEASHELLS;587.0;14
1;30997.0;Valentina;Vinnie;SEASHELLS;594.0;13
1;30998.0;Valentina;Vinnie;SEASHELLS;592.0;20
1;31014.0;Valentina;Vinnie;SEASHELLS;600.0;14
1;31016.0;Vladimir;Ruby;SEASHELLS;602.0;14
1;31016.0;Valentina;Rhianna;SEASHELLS;602.0;10
1;31016.0;Valentina;Ruby;SEASHELLS;602.0;5
1;31025.0;Valentina;Vinnie;SEASHELLS;601.0;15
1;31025.0;Vladimir;Vinnie;SEASHELLS;601.0;5
1;31035.0;Valentina;Vinnie;SEASHELLS;603.0;11
1;31037.0;Valentina;Vinnie;SEASHELLS;601.0;13
1;31051.0;Ruby;Valentina;SEASHELLS;612.0;15
1;31086.0;Valentina;Ruby;SEASHELLS;607.0;11
1;31090.0;Valentina;Vinnie;SEASHELLS;609.0;18
1;31093.0;Valentina;Rhianna;SEASHELLS;611.0;13
1;31126.0;Valentina;Vinnie;SEASHELLS;619.0;16
1;31136.0;Valentina;Vinnie;SEASHELLS;619.0;14
1;31138.0;Ruby;Valentina;SEASHELLS;617.0;10
1;31149.0;Valentina;Ruby;SEASHELLS;610.0;13
1;31168.0;Valentina;Ruby;SEASHELLS;612.0;14
1;31178.0;Valentina;Vinnie;SEASHELLS;613.0;13
1;31220.0;Valentina;Vinnie;SEASHELLS;617.0;12
1;31228.0;Valentina;Vinnie;SEASHELLS;613.0;17
1;31233.0;Valentina;Vinnie;SEASHELLS;613.0;17
1;31249.0;Ruby;Valentina;SEASHELLS;622.0;20
1;31249.0;Valentina;Vinnie;SEASHELLS;621.0;11
1;31262.0;Valentina;Rhianna;SEASHELLS;620.0;10
1;31305.0;Valentina;Vinnie;SEASHELLS;622.0;20
1;31324.0;Valentina;Valentina;SEASHELLS;617.0;8
1;31336.0;Valentina;Rhianna;SEASHELLS;618.0;7
1;31352.0;Valentina;Ruby;SEASHELLS;620.0;13
1;31352.0;Valentina;Rhianna;SEASHELLS;620.0;6
1;31358.0;Valentina;Vinnie;SEASHELLS;621.0;10
1;31362.0;Valentina;Vinnie;SEASHELLS;623.0;10
1;31379.0;Ruby;Valentina;SEASHELLS;615.0;16
1;31398.0;Valentina;Ruby;SEASHELLS;615.0;12
1;31400.0;Valentina;Rhianna;SEASHELLS;616.0;7
1;31413.0;Valentina;Ruby;SEASHELLS;615.0;17
1;31437.0;Valentina;Rhianna;SEASHELLS;613.0;6
1;31444.0;Valentina;Vinnie;SEASHELLS;613.0;10
1;31455.0;Valentina;Vinnie;SEASHELLS;611.0;17
1;31455.0;Vladimir;Vinnie;SEASHELLS;611.0;2
1;31515.0;Valentina;Rhianna;SEASHELLS;613.0;11
1;31527.0;Valentina;Vinnie;SEASHELLS;608.0;10
1;31537.0;Ruby;Valentina;SEASHELLS;608.0;13
1;31538.0;Valentina;Vinnie;SEASHELLS;608.0;18
1;31539.0;Valentina;Vinnie;SEASHELLS;609.0;19
1;31570.0;Valentina;Valentina;SEASHELLS;607.0;5
1;31584.0;Valentina;Vinnie;SEASHELLS;605.0;15
1;31586.0;Valentina;Vinnie;SEASHELLS;603.0;15
1;31600.0;Ruby;Valentina;SEASHELLS;601.0;10
1;31607.0;Vinnie;Vinnie;SEASHELLS;602.0;2
1;31607.0;Vladimir;Vinnie;SEASHELLS;602.0;15
1;31607.0;Vladimir;Vinnie;SEASHELLS;602.0;3
1;31624.0;Vinnie;Ruby;SEASHELLS;601.0;2
1;31624.0;Valentina;Ruby;SEASHELLS;601.0;5
1;31624.0;Valentina;Vinnie;SEASHELLS;601.0;12
1;31624.0;Vladimir;Ruby;SEASHELLS;601.0;12
1;31625.0;Valentina;Vinnie;SEASHELLS;603.0;17
1;31636.0;Ruby;Valentina;SEASHELLS;605.0;16
1;31656.0;Vladimir;Vinnie;SEASHELLS;604.0;2
1;31656.0;Valentina;Vinnie;SEASHELLS;604.0;17
1;31657.0;Valentina;Valentina;SEASHELLS;605.0;4
1;31659.0;Valentina;Vinnie;SEASHELLS;605.0;19
1;31666.0;Valentina;Vinnie;SEASHELLS;603.0;12
1;31669.0;Ruby;Valentina;SEASHELLS;600.0;15
1;31669.0;Valentina;Vinnie;SEASHELLS;599.0;12
1;31676.0;Valentina;Vinnie;SEASHELLS;597.0;13
1;31710.0;Valentina;Vinnie;SEASHELLS;595.0;10
1;31711.0;Valentina;Vinnie;SEASHELLS;593.0;12
1;31716.0;Valentina;Vinnie;SEASHELLS;593.0;15
1;31728.0;Valentina;Vinnie;SEASHELLS;591.0;19
1;31730.0;Ruby;Valentina;SEASHELLS;596.0;20
1;31739.0;Valentina;Ruby;SEASHELLS;596.0;10
1;31748.0;Ruby;Valentina;SEASHELLS;600.0;11
1;31749.0;Valentina;Valentina;SEASHELLS;599.0;8
1;31750.0;Vladimir;Ruby;SEASHELLS;600.0;10
1;31750.0;Valentina;Ruby;SEASHELLS;600.0;8
1;31750.0;Valentina;Vinnie;SEASHELLS;600.0;12
1;31751.0;Valentina;Vinnie;SEASHELLS;598.0;15
1;31765.0;Valentina;Valentina;SEASHELLS;596.0;9
1;31792.0;Valentina;Vinnie;SEASHELLS;596.0;17
1;31792.0;Vladimir;Vinnie;SEASHELLS;596.0;3
1;31815.0;Valentina;Vinnie;SEASHELLS;599.0;15
1;31817.0;Valentina;Vinnie;SEASHELLS;596.0;14
1;31822.0;Valentina;Vinnie;SEASHELLS;597.0;12
1;31827.0;Valentina;Vinnie;SEASHELLS;599.0;16
1;31850.0;Valentina;Ruby;SEASHELLS;604.0;12
1;31852.0;Valentina;Vinnie;SEASHELLS;603.0;19
1;31853.0;Valentina;Vinnie;SEASHELLS;605.0;10
1;31856.0;Valentina;Valentina;SEASHELLS;604.0;6
1;31857.0;Valentina;Rhianna;SEASHELLS;604.0;14
1;31885.0;Valentina;Vinnie;SEASHELLS;598.0;12
1;31896.0;Valentina;Rhianna;SEASHELLS;596.0;13
1;31904.0;Ruby;Valentina;SEASHELLS;594.0;19
1;31908.0;Valentina;Valentina;SEASHELLS;595.0;6
1;31921.0;Valentina;Valentina;SEASHELLS;600.0;4
1;31933.0;Valentina;Rhianna;SEASHELLS;607.0;13
1;31934.0;Valentina;Vinnie;SEASHELLS;609.0;18
1;31941.0;Valentina;Rhianna;SEASHELLS;610.0;12
1;31942.0;Valentina;Vinnie;SEASHELLS;611.0;11
1;32008.0;Valentina;Vinnie;SEASHELLS;616.0;15
1;32016.0;Valentina;Vinnie;SEASHELLS;615.0;10
1;32052.0;Vladimir;Ruby;SEASHELLS;611.0;2
1;32052.0;Valentina;Ruby;SEASHELLS;611.0;18
1;32056.0;Valentina;Valentina;SEASHELLS;610.0;8
1;32078.0;Valentina;Vinnie;SEASHELLS;599.0;13
1;32079.0;Valentina;Ruby;SEASHELLS;600.0;14
1;32079.0;Valentina;Rhianna;SEASHELLS;600.0;6
1;32084.0;Ruby;Valentina;SEASHELLS;597.0;17
1;32087.0;Ruby;Valentina;SEASHELLS;598.0;16
1;32092.0;Valentina;Rhianna;SEASHELLS;593.0;8
1;32102.0;Ruby;Valentina;SEASHELLS;592.0;20
1;32107.0;Valentina;Vinnie;SEASHELLS;590.0;13
1;32123.0;Valentina;Ruby;SEASHELLS;592.0;10
1;32129.0;Valentina;Rhianna;SEASHELLS;589.0;15
1;32142.0;Valentina;Valentina;SEASHELLS;589.0;6
1;32144.0;Valentina;Vinnie;SEASHELLS;591.0;18
1;32149.0;Valentina;Vinnie;SEASHELLS;592.0;16
1;32150.0;Valentina;Valentina;SEASHELLS;593.0;8
1;32162.0;Valentina;Vinnie;SEASHELLS;596.0;19
1;32163.0;Valentina;Vinnie;SEASHELLS;596.0;17
1;32163.0;Vladimir;Vinnie;SEASHELLS;596.0;2
1;32170.0;Vladimir;Vinnie;SEASHELLS;600.0;2
1;32170.0;Valentina;Vinnie;SEASHELLS;600.0;18
1;32207.0;Valentina;Valentina;SEASHELLS;608.0;9
1;32220.0;Valentina;Ruby;SEASHELLS;608.0;11
1;32234.0;Valentina;Valentina;SEASHELLS;617.0;4
1;32242.0;Vladimir;Vinnie;SEASHELLS;614.0;5
1;32242.0;Valentina;Vinnie;SEASHELLS;614.0;15
1;32245.0;Valentina;Vinnie;SEASHELLS;616.0;20
1;32252.0;Valentina;Vinnie;SEASHELLS;613.0;12
1;32269.0;Valentina;Vinnie;SEASHELLS;610.0;11
1;32281.0;Valentina;Rhianna;SEASHELLS;612.0;8
1;32290.0;Valentina;Ruby;SEASHELLS;613.0;15
1;32291.0;Valentina;Vinnie;SEASHELLS;613.0;13
1;32314.0;Valentina;Vinnie;SEASHELLS;624.0;10
1;32320.0;Valentina;Rhianna;SEASHELLS;623.0;13
1;32321.0;Valentina;Vinnie;SEASHELLS;623.0;14
1;32342.0;Valentina;Vinnie;SEASHELLS;627.0;16
1;32347.0;Valentina;Vinnie;SEASHELLS;619.0;10
1;32348.0;Valentina;Vinnie;SEASHELLS;620.0;12
1;32351.0;Ruby;Valentina;SEASHELLS;626.0;14
1;32352.0;Valentina;Vinnie;SEASHELLS;625.0;10
1;32354.0;Valentina;Vinnie;SEASHELLS;624.0;10
1;32367.0;Valentina;Vinnie;SEASHELLS;629.0;14
1;32369.0;Valentina;Rhianna;SEASHELLS;629.0;5
1;32373.0;Valentina;Vinnie;SEASHELLS;628.0;13
1;32385.0;Valentina;Vinnie;SEASHELLS;637.0;11
1;32389.0;Valentina;Valentina;SEASHELLS;637.0;6
1;32389.0;Valentina;Vinnie;SEASHELLS;636.0;13
