day;timestamp;buyer;seller;currency;price;quantity
0;20001.0;Remy;Vinnie;SEASHELLS;15001.0;3
0;20003.0;Vinnie;Rhianna;SEASHELLS;15000.0;3
0;20013.0;Remy;Vinnie;SEASHELLS;14997.0;1
0;20015.0;Vinnie;Remy;SEASHELLS;14994.0;3
0;20027.0;Remy;Vinnie;SEASHELLS;14974.0;5
0;20032.0;Remy;Vinnie;SEASHELLS;14961.0;5
0;20038.0;Remy;Vinnie;SEASHELLS;14955.0;4
0;20063.0;Vinnie;Remy;SEASHELLS;14962.0;3
0;20078.0;Remy;Vinnie;SEASHELLS;14957.0;1
0;20079.0;Vinnie;Remy;SEASHELLS;14955.0;1
0;20091.0;Vinnie;Remy;SEASHELLS;14957.0;5
0;20094.0;Remy;Vinnie;SEASHELLS;14959.0;4
0;20095.0;Vinnie;Remy;SEASHELLS;14961.0;2
0;20098.0;Remy;Vinnie;SEASHELLS;14960.0;5
0;20118.0;Remy;Vinnie;SEASHELLS;14949.0;2
0;20128.0;Vinnie;Vladimir;SEASHELLS;14933.0;4
0;20140.0;Vinnie;Remy;SEASHELLS;14934.0;4
0;20145.0;Vinnie;Remy;SEASHELLS;14930.0;3
0;20147.0;Remy;Vinnie;SEASHELLS;14926.0;1
0;20157.0;Vinnie;Vladimir;SEASHELLS;14925.0;6
0;20160.0;Vinnie;Vladimir;SEASHELLS;14923.0;7
0;20175.0;Remy;Vinnie;SEASHELLS;14912.0;3
0;20181.0;Vinnie;Remy;SEASHELLS;14907.0;3
0;20185.0;Vinnie;Remy;SEASHELLS;14906.0;1
0;20206.0;Vinnie;Remy;SEASHELLS;14931.0;3
0;20212.0;Remy;Vinnie;SEASHELLS;14927.0;2
0;20217.0;Vinnie;Vladimir;SEASHELLS;14919.0;4
0;20226.0;Vinnie;Remy;SEASHELLS;14905.0;3
0;20237.0;Vinnie;Remy;SEASHELLS;14898.0;4
0;20239.0;Remy;Vinnie;SEASHELLS;14901.0;3
0;20242.0;Remy;Vinnie;SEASHELLS;14896.0;2
0;20287.0;Remy;Vinnie;SEASHELLS;14878.0;2
0;20303.0;Remy;Vinnie;SEASHELLS;14891.0;2
0;20319.0;Remy;Vinnie;SEASHELLS;14885.0;4
0;20326.0;Remy;Vinnie;SEASHELLS;14886.0;5
0;20338.0;Vinnie;Remy;SEASHELLS;14883.0;3
0;20341.0;Vinnie;Remy;SEASHELLS;14888.0;1
0;20348.0;Vinnie;Remy;SEASHELLS;14889.0;3
0;20352.0;Vinnie;Vladimir;SEASHELLS;14891.0;3
0;20355.0;Vinnie;Remy;SEASHELLS;14890.0;2
0;20400.0;Vinnie;Vladimir;SEASHELLS;14878.0;6
0;20406.0;Remy;Vinnie;SEASHELLS;14881.0;5
0;20407.0;Remy;Vinnie;SEASHELLS;14877.0;4
0;20408.0;Remy;Vladimir;SEASHELLS;14874.0;4
0;20413.0;Vinnie;Vladimir;SEASHELLS;14877.0;9
0;20423.0;Vinnie;Remy;SEASHELLS;14881.0;5
0;20444.0;Remy;Vinnie;SEASHELLS;14863.0;3
0;20463.0;Vinnie;Remy;SEASHELLS;14854.0;5
0;20471.0;Vinnie;Vladimir;SEASHELLS;14840.0;9
0;20475.0;Vinnie;Remy;SEASHELLS;14835.0;2
0;20491.0;Vinnie;Remy;SEASHELLS;14824.0;5
0;20492.0;Vinnie;Remy;SEASHELLS;14826.0;4
0;20504.0;Vinnie;Vladimir;SEASHELLS;14805.0;7
0;20534.0;Remy;Vinnie;SEASHELLS;14793.0;1
0;20543.0;Vinnie;Remy;SEASHELLS;14777.0;4
0;20549.0;Vinnie;Remy;SEASHELLS;14769.0;2
0;20558.0;Remy;Vinnie;SEASHELLS;14765.0;3
0;20579.0;Vinnie;Remy;SEASHELLS;14753.0;1
